ID,Contributor,Citation,Glottocode,LanguageVariety,Family,Area,Notes,BibTex
28,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",kohu1244,Kohumono,Atlantic-Kongo,Africa,,dimmendaal1978
29,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",kore1280,Korean,Koreanic,Asia,,bang2018
30,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",pwon1235,Phlong,Sino-Tibetan,Asia,,weidert1987
31,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",hmon1333,White Hmong,Hmong-Mien,Asia,,ratliff2015
32,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",hopi1249,Hopi,Uto-Aztecan,North America,,ratliff2015
33,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",,Blimaw,Sino-Tibetan,Asia,No Glottocode,weidert1987
34,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",huuu1240,Hu,Austroasiatic,Asia,,ratliff2015
35,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",esto1258,Estonian,Uralic,Europe,,ratliff2015
36,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",benc1235,Gimira,Omotic,Africa,,ratliff2015
37,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",sout2746,Nakhon Si Thammarat Thai,Kra-dai,Asia,Glottocode for Southern Thai,kingston2011
38,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",nort2740,Yung Chiang Kam,Kra-Dai?,Asia,Glottocode for Northern Thai,kingston2011
39,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",shan1277,Shan,Kra-Dai,Asia,,kingston2011
40,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",,Szu ta Chai,,Asia,No Glottocode,kingston2011
41,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",midd1319,Central Franconian,Indoeuropean,Europe,,gussenhoven2000
42,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",newc1243,Central North New Caledonian languages,Austronesian,Papunesia,Glottocode for New Caledonian ,rivierre1993
43,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",extr1245,Far South New Caledonian langauges,Austronesian,Papunesia,,rivierre1993
44,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",taik1256,Kra-Dai languages,kra-dai,Asia,,sagart2019
45,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",samo1305,Samoan,Austronesian,Papunesia,,
46,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",dani1285,Zealand Danish,Indoeuropean,Europe,Glottocode for Danish,iosad2016
47,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",dani1285,East Slesvig,Indoeuropean,Europe,Glottocode for Danish,iosad2016
48,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",scot1245,Scottish gaelic (Bernera),Indoeuropean,Europe,Glottocode for Scottish Gaelic,iosad2015
49,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",limb1263,Limburgish,Indoeuropean,Europe,,hermans2006
50,Lilja Saeboe,"Lilja Saeboe, Alena Witzlack, Eitan Grossman, & Steven Moran. 2021. TonoDB: a database of tonogenesis events.",tian1238,T’ientsin,Sino-Tibetan,Asia,,teeranon2012
